Frage,Antwort,Fundstellen im IT-Grundschutz-Kompendium 2023
Warum ist Abhängigkeit von Outsourcing-Anbietenden kritisch?,"Wenn eine Organisation Prozesse an externe Dienstleister auslagert, wird sie von diesen abhängig. Dadurch kann Wissen in der Organisation verloren gehen und die ausgelagerten Prozesse lassen sich nicht mehr vollständig kontrollieren. Auch der Schutzbedarf der Daten und Prozesse kann unterschiedlich bewertet werden, was zu ungeeigneten Sicherheitsmaßnahmen führen kann. Dienstleister, die ganze Geschäftsprozesse übernehmen, haben die volle Kontrolle über die Prozesse, Informationen, Ressourcen und IT-Systeme, während das Wissen der Organisation abnimmt. Dadurch können Sicherheitsmängel unbemerkt bleiben, und die Dienstleister könnten dies ausnutzen, etwa durch höhere Preise oder schlechtere Qualität.","OPS.2.3 Nutzung von Outsourcing
2.3. Abhängigkeit von Anbietenden von Outsourcing
Entscheidet sich eine Institution für Outsourcing, macht sie sich damit auch von Anbietenden von Outsourcing abhängig. Mit dieser Abhängigkeit kann Wissen verloren gehen und die ausgelagerten Prozesse können nicht mehr vollständig kontrolliert werden. Außerdem könnte der Schutzbedarf der ausgelagerten Geschäftsprozesse und Informationen unterschiedlich eingeschätzt werden. Dies kann dazu führen, dass für den Schutzbedarf entsprechend ungeeignete Sicherheitsmaßnahmen umgesetzt werden. Häufig lagern Institutionen gesamte Geschäftsprozesse an Anbietende von Outsourcing aus. Die Anbietenden von Outsourcing können dadurch die Geschäftsprozesse mit schutzbedürftigen Informationen, Ressourcen und IT-Systemen vollständig kontrollieren. Gleichzeitig nimmt das Wissen über diese Bereiche bei Nutzenden von Outsourcing ab. Als Folge ist es möglich, dass die Nutzenden von Outsourcing Defizite der Informationssicherheit nicht mehr bemerken. Diese Situation könnte von Anbietenden von Outsourcing ausgenutzt werden, z. B. indem sie drastisch die Preise erhöhen oder die Qualität der Dienstleistungen abnimmt."
Welche Risiken entstehen durch unzulängliche vertragliche Regelungen beim Outsourcing?,"Unklare oder unvollständige Verträge mit externen Dienstleistern können zu Sicherheitsproblemen während des gesamten Outsourcing-Prozesses führen. Verträge legen fest, wie Aufgaben, Leistungen und Aufwände umgesetzt werden sollen, und bilden die Grundlage für Ansprüche der Organisation gegenüber dem Dienstleister. Werden diese Punkte nicht klar geregelt, können wichtige Sicherheitsmaßnahmen aus Unkenntnis oder fehlenden Ressourcen nicht umgesetzt werden. Das kann dazu führen, dass gesetzliche Vorgaben, regulatorische Pflichten oder Auskunftsrechte verletzt werden und die Daten und Prozesse der Organisation nicht ausreichend geschützt sind","2.6. Unzulängliche vertragliche Regelungen mit Anbietenden von Outsourcing
Unzulängliche vertragliche Regelungen mit den Anbietenden von Outsourcing können zu Schwachstellen in der Informationssicherheit entlang des gesamten Outsourcing-Lebenszyklus führen. Die vertraglichen Regelungen definieren den gesamten Outsourcing-Prozess und stellen den Ausgangspunkt für Ansprüche der Nutzenden gegenüber den Anbietenden von Outsourcing dar. Aufgrund von unzulänglichen vertraglichen Regelungen mit den Anbietenden von Outsourcing können vielfältige und auch schwerwiegende Sicherheitsprobleme auftreten. Wenn Aufgaben, Leistungsparameter oder Aufwände ungenügend oder missverständlich beschrieben wurden, können möglicherweise aus Unkenntnis oder wegen fehlender Ressourcen Sicherheitsmaßnahmen nicht umgesetzt werden. Dies kann viele negative Auswirkungen nach sich ziehen, etwa, wenn regulatorische Anforderungen und Pflichten nicht erfüllt oder Auskunftspflichten und Gesetze nicht eingehalten werden. Wird bei der Vertragsgestaltung der Aspekt der  Informationssicherheit nicht berücksichtigt, so können Prozesse und Daten der Nutzenden von Outsourcing unzureichend abgesichert werden."
Welche Risiken bestehen für die Reputation einer Organisation durch einen erfolgreichen Webserver-Angriff?,"Bei einem erfolgreichen Angriff auf einen Webserver mit administrativen Rechten kann eine manipulierte Webseite ausgeliefert werden (Defacement), was die Reputation der Institution schädigt. Auch die Veröffentlichung falscher Informationen oder die Bereitstellung rechtswidriger Inhalte kann zu öffentlichen Schäden, Abmahnungen oder Kundenverlust führen, insbesondere wenn die Webseite nicht verfügbar ist.","APP.3.2 Webserver 2.1. Reputationsverlust
Gelingt es bei einem Angriff mit administrativen Rechten auf einen Webserver zuzugreifen, kann darüber eine manipulierte Webseite ausgeliefert werden (Defacement). So kann die Reputation der Institution geschädigt werden. Ebenso kann die Veröffentlichung falscher Informationen, wie zum Beispiel fehlerhafter Produktbeschreibungen, dazu führen, dass die Reputation der Institution in der Öffentlichkeit leidet. Auch kann die Institution abgemahnt werden, wenn auf ihrer Webseite Inhalte veröffentlicht werden, die gegen gesetzliche Vorschriften verstoßen. Ein Schaden kann auch entstehen, wenn die Webseite nicht verfügbar ist und potenzielle Kunden und Kundinnen deshalb zu Mitbewerbern wechseln."
Wie kann ein Angriff auf einen Webserver zur Manipulation von Inhalten führen?,"Bei einem unbefugten Zugriff können Angreifer die Konfiguration des Webservers ändern, Schadsoftware verbreiten oder Webinhalte manipulieren. Dies kann zu einer Verfälschung von Informationen, zur Auslieferung von schädlichen Inhalten oder zur Beeinträchtigung der Integrität des Webangebots führen.","2.2. Manipulation des Webservers
Bei einem Angriff könnten sich unberechtigte Personen Zugriff auf einen Webserver verschaffen und dessen Dateien manipulieren. Es könnte beispielsweise die Konfiguration der Webserver-Software geändert werden, Schadsoftware verbreitet oder Webinhalte modifiziert werden."
Welche Auswirkungen haben Denial-of-Service (DoS)-Angriffe auf einen Webserver?,"DoS- und DDoS-Angriffe können die Verfügbarkeit eines Webangebots erheblich beeinträchtigen. Durch Überlastung kann der Webserver teilweise oder vollständig außer Betrieb gehen, wodurch Clients das Angebot nicht mehr nutzen können. Für geschäftskritische Angebote wie Online-Shops kann ein solcher Ausfall schnell zu erheblichen wirtschaftlichen Schäden führen.","APP.3.2 Webserver 2.3. Denial of Service (DoS)
Durch DoS-Angriffe lässt sich die Verfügbarkeit eines Webangebotes gezielt beeinträchtigen, indem beispielsweise einzelne Accounts durch fehlerhafte Anmeldungen gesperrt werden. Durch DDoS (Distributed Denial of Service)-Angriffe kann ein Webserver teilweise oder auch ganz ausfallen. Für Clients ist das Webangebot dann nur noch sehr langsam oder gar nicht mehr verfügbar. Für viele Institutionen kann ein solcher Ausfall schnell geschäftskritisch werden, z. B. für Online-Shops."
Wer trägt die Gesamtverantwortung für Informationssicherheit in der Organisastion?,"Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit übernehmen. Sie muss den Sicherheitsprozess initiieren, steuern und kontrollieren sowie Informationssicherheit vorleben.","ISMS.1.A1 Übernahme der Gesamtverantwortung für Informationssicherheit  durch die Leitung (B) [Institutionsleitung]  
Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit in der Institution  übernehmen. Dies MUSS für alle Beteiligten deutlich erkennbar sein. Die Institutionsleitung MUSS den Sicherheitsprozess initiieren, steuern und kontrollieren. Die Institutionsleitung MUSS Informationssicherheit vorleben. Die Institutionsleitung MUSS die Zuständigkeiten für Informationssicherheit festlegen. Die zuständigen Mitarbeitenden MÜSSEN mit den erforderlichen Kompetenzen und Ressourcen ausgestattet werden. Die Institutionsleitung MUSS sich regelmäßig über den Status der Informationssicherheit informieren lassen. Insbesondere MUSS sich die Institutionsleitung über mögliche Risiken und Konsequenzen aufgrund fehlender Sicherheitsmaßnahmen informieren lassen. "
Was muss eine Leitlinie zur Informationssicherheit enthalten?,"Die Leitlinie muss den Stellenwert der Informationssicherheit, die Sicherheitsziele, die wichtigsten Aspekte der Sicherheitsstrategie sowie die Organisationsstruktur für Informationssicherheit beschreiben. Außerdem muss ein klarer Geltungsbereich festgelegt und der Bezug zu den Geschäftszielen erläutert werden.","ISMS.1.A3 Erstellung einer Leitlinie zur Informationssicherheit (B) [Institutionsleitung]  
Die Institutionsleitung MUSS eine übergeordnete Leitlinie zur Informationssicherheit verabschieden. Diese MUSS den Stellenwert der Informationssicherheit, die Sicherheitsziele, die wichtigsten Aspekte der Sicherheitsstrategie sowie die Organisationsstruktur für nformationssicherheit beschreiben. Für die Sicherheitsleitlinie MUSS ein klarer Geltungsbereich festgelegt sein. In der Leitlinie zur Informationssicherheit MÜSSEN die Sicherheitsziele und der Bezug der Sicherheitsziele zu den Geschäftszielen und Aufgaben der Institution erläutert erden. Die Institutionsleitung MUSS die Leitlinie zur Informationssicherheit allen Mitarbeitenden und sonstigen Mitgliedern der Institution bekannt geben. Die Leitlinie zur Informationssicherheit SOLLTE regelmäßig aktualisiert werden. "
"Welche Gefahr besteht, wenn die Institutionsleitung den Sicherheitsprozess nicht ausreichend unterstützt?","Ohne uneingeschränkte Unterstützung durch die Institutionsleitung können Sicherheitsverantwortliche Schwierigkeiten haben, notwendige Maßnahmen einzufordern, insbesondere bei Personen, die in der Linienstruktur über ihnen stehen. Der Sicherheitsprozess ist dann nicht vollständig durchführbar.","ISMS.1 Gefährdungslage Kap.2.2
2.2. Mangelnde Unterstützung durch die Institutionsleitung 
Werden die Sicherheitsverantwortlichen nicht uneingeschränkt durch die Institutionsleitung  unterstützt, kann es schwierig werden, die notwendigen Maßnahmen einzufordern. Dies gilt insbesondere für Personen, die in der Linienstruktur über den Sicherheitsverantwortlichen stehen. In diesem Fall ist der Sicherheitsprozess nicht vollständig durchführbar."
Wie oft sollte das Sicherheitskonzept überprüft werden?,"Der Sicherheitsprozess, die Sicherheitskonzepte und die Organisationsstruktur sollten regelmäßig auf Wirksamkeit und Angemessenheit überprüft werden. Überprüfungen des Sicherheitsniveaus sollten mindestens jährlich sowie anlassbezogen durchgeführt werden.","ISMS.1.A11 Aufrechterhaltung der Informationssicherheit (S) 
Der Sicherheitsprozess, die Sicherheitskonzepte, die Leitlinie zur Informationssicherheit und die  Organisationsstruktur für Informationssicherheit SOLLTEN regelmäßig auf Wirksamkeit und  Angemessenheit überprüft und aktualisiert werden. Dazu SOLLTEN regelmäßig Vollständigkeits- bzw. Aktualisierungsprüfungen des Sicherheitskonzeptes durchgeführt werden. Ebenso SOLLTEN regelmäßig Sicherheitsrevisionen durchgeführt werden. Dazu SOLLTE geregelt sein, welche Bereiche und Sicherheitsmaßnahmen wann und von wem zu überprüfen sind. Überprüfungen des Sicherheitsniveaus SOLLTEN regelmäßig (mindestens jährlich) sowie anlassbezogen durchgeführt werden. Die Prüfungen SOLLTEN von qualifizierten und unabhängigen Personen durchgeführt werden. Die Ergebnisse der Überprüfungen SOLLTEN nachvollziehbar dokumentiert sein. Darauf aufbauend SOLLTEN Mängel beseitigt und Korrekturmaßnahmen ergriffen werden. "
Wie müssen Mitarbeitende in den Sicherheitsprozess integriert werden?,"Alle Mitarbeitenden müssen über Hintergründe und relevante Gefährdungen informiert sein. Sie müssen Sicherheitsmaßnahmen kennen und umsetzen, die ihren Arbeitsplatz betreffen. Sie sollten frühzeitig beteiligt werden, wenn Sicherheitsmaßnahmen zu planen sind, und müssen über Konsequenzen bei Verstößen aufgeklärt werden.","ISMS.1.A8 Integration der Mitarbeitenden in den Sicherheitsprozess (B) [Vorgesetzte]  
Alle Mitarbeitenden MÜSSEN in den Sicherheitsprozess integriert sein. Hierfür MÜSSEN sie über Hintergründe und die für sie relevanten Gefährdungen informiert sein. Sie MÜSSEN Sicherheitsmaßnahmen kennen und umsetzen, die ihren Arbeitsplatz betreffen. Alle Mitarbeitenden MÜSSEN in die Lage versetzt werden, Sicherheit aktiv mitzugestalten. Daher SOLLTEN die Mitarbeitenden frühzeitig beteiligt werden, wenn Sicherheitsmaßnahmen zu planen oder organisatorische Regelungen zu gestalten sind. Bei der Einführung von Sicherheitsrichtlinien und Sicherheitswerkzeugen MÜSSEN die Mitarbeitenden ausreichend informiert sein, wie diese anzuwenden sind. Die Mitarbeitenden MÜSSEN darüber aufgeklärt werden, welche Konsequenzen eine Verletzung der Sicherheitsvorgaben haben kann. "
Welche Vertretungsregelungen müssen im Sicherheitsmanagement existieren?,"Für alle wichtigen Informationssicherheitsfunktionen muss es wirksame Vertretungen geben. Die Kommunikationswege müssen geplant, dokumentiert, eingerichtet und allen bekannt sein. Es muss klar sein, wer welche Informationen erhält und wer bei welchen Maßnahmen informiert werden muss. Außerdem muss regelmäßig überprüft werden, ob die Organisationsstruktur der Informationssicherheit noch passend ist oder angepasst werden muss.","ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit (B) [Institutionsleitung]  
Eine geeignete übergreifende Organisationsstruktur für Informationssicherheit MUSS vorhanden sein. Dafür MÜSSEN Rollen definiert sein, die konkrete Aufgaben übernehmen, um die Sicherheitsziele zu erreichen. Außerdem MÜSSEN qualifizierte Personen benannt werden, denen ausreichend Ressourcen zur Verfügung stehen, um diese Rollen zu übernehmen. Die Aufgaben, Rollen, Verantwortungen und Kompetenzen im Sicherheitsmanagement MÜSSEN nachvollziehbar definiert und zugewiesen sein. Für alle wichtigen Funktionen der Organisation für Informationssicherheit MUSS es wirksame Vertretungsregelungen geben. Kommunikationswege MÜSSEN geplant, beschrieben, eingerichtet und bekannt gemacht werden. Es MUSS für alle Aufgaben und Rollen festgelegt sein, wer wen informiert und wer bei welchen Aktionen 
in welchem Umfang informiert werden muss. Es MUSS regelmäßig geprüft werden, ob die Organisationsstruktur für Informationssicherheit noch angemessen ist oder ob sie an neue Rahmenbedingungen angepasst werden muss."
Was sollten Management-Berichte zur Informationssicherheit enthalten?,"Managementberichte zur Informationssicherheit sollten der Leitung der Organisation einen klaren Überblick über den Sicherheitsstatus geben. Sie sollten insbesondere Informationen zur aktuellen Gefährdungslage und zur Wirksamkeit sowie Effizienz der Sicherheitsmaßnahmen enthalten. Außerdem sollen sie Probleme, Erfolge und mögliche Verbesserungen im Sicherheitsprozess darstellen. Die Berichte sollten priorisierte Maßnahmenvorschläge enthalten, die mit realistischen Einschätzungen zum erwarteten Umsetzungsaufwand versehen sind. Managemententscheidungen über erforderliche Maßnahmen, den Umgang mit verbleibenden Risiken und Änderungen an sicherheitsrelevanten Prozessen sollten dokumentiert und revisionssicher archiviert werden.","ISMS.1.A12 Management-Berichte zur Informationssicherheit (S) [Institutionsleitung]  
Die Institutionsleitung SOLLTE sich regelmäßig über den Stand der Informationssicherheit informieren, insbesondere über die aktuelle Gefährdungslage sowie die Wirksamkeit und Effizienz des Sicherheitsprozesses. Dazu SOLLTEN Management-Berichte geschrieben werden, welche die wesentlichen relevanten Informationen über den Sicherheitsprozess enthalten, insbesondere über Probleme, Erfolge und Verbesserungsmöglichkeiten. Die Management-Berichte SOLLTEN klar priorisierte Maßnahmenvorschläge enthalten. Die Maßnahmenvorschläge SOLLTEN mit realistischen Abschätzungen zum erwarteten Umsetzungsaufwand versehen sein. Die Management-Berichte SOLLTEN revisionssicher archiviert werden. Die Management-Entscheidungen über erforderliche Aktionen, den Umgang mit Restrisiken und mit 
Veränderungen von sicherheitsrelevanten Prozessen SOLLTEN dokumentiert sein. Die Management-Entscheidungen SOLLTEN revisionssicher archiviert werden.

"
Welche Risiken entstehen durch fehlende Aktualisierung im Sicherheitsprozess?,"Neue Geschäftsprozesse, Anwendungen, IT-Systeme und Bedrohungen beeinflussen permanent den Status der Informationssicherheit. Ohne effektives Revisionskonzept verringert sich das Sicherheitsniveau, und aus realer Sicherheit wird schleichend eine gefährliche Scheinsicherheit.","ISMS.1 Gefährdungslage Kap 2.6
2.6. Fehlende Aktualisierung im Sicherheitsprozess Neue Geschäftsprozesse, Anwendungen und IT-Systeme sowie neue Bedrohungen beeinflussen permanent den Status der Informationssicherheit innerhalb einer Institution. Fehlt ein effektives Revisionskonzept, das auch das Bewusstsein für neue Bedrohungen stärkt, verringert sich das Sicherheitsniveau. Aus der realen Sicherheit wird dann schleichend eine gefährliche Scheinsicherheit. "
Muss es für Telearbeit formale Regelungen geben?,Alle relevanten Aspekte der Telearbeit müssen geregelt und den Telearbeitenden in Form von Regelungen oder einem Merkblatt ausgehändigt werden. Strittige Punkte müssen durch Betriebsvereinbarungen oder individuelle Vereinbarungen geklärt werden. Die Regelungen müssen regelmäßig aktualisiert werden.,"OPS.1.2.4.A1 Regelungen für Telearbeit (B) [Vorgesetzte, Personalabteilung] Alle relevanten Aspekte der Telearbeit MÜSSEN geregelt werden. Zu Informationszwecken MÜSSEN den Telearbeitenden die geltenden Regelungen oder ein dafür vorgesehenes Merkblatt ausgehändigt werden, das die zu beachtenden Sicherheitsmaßnahmen erläutert. Alle strittigen Punkte MÜSSEN entweder durch Betriebsvereinbarungen oder durch zusätzlich zum Arbeitsvertrag getroffene individuelle Vereinbarungen zwischen dem Mitarbeitenden und der Institution geregelt werden. Die Regelungen MÜSSEN regelmäßig aktualisiert werden."
Welche grundlegenden Sicherheitsanforderungen gelten für Telearbeitsrechner?,"Es müssen sicherheitstechnische Anforderungen festgelegt werden, die ein IT-System für die Telearbeit erfüllen muss. Es muss sichergestellt werden, dass nur autorisierte Personen Zugang zu den Telearbeitsrechnern haben. Darüber hinaus muss der Telearbeitsrechner so abgesichert werden, dass er nur für autorisierte Zwecke benutzt werden kann.","OPS.1.2.4.A2 Sicherheitstechnische Anforderungen an den Telearbeitsrechner (B) Es MÜSSEN sicherheitstechnische Anforderungen festgelegt werden, die ein IT-System für die Telearbeit erfüllen muss. Es MUSS sichergestellt werden, dass nur autorisierte Personen Zugang zu den Telearbeitsrechnern haben. Darüber hinaus MUSS der Telearbeitsrechner so abgesichert werden, dass er nur für autorisierte Zwecke benutzt werden kann."
Müssen Mitarbeitende speziell geschult werden?,"Anhand eines Leitfadens müssen die Mitarbeitenden für die Gefahren sensibilisiert werden, die mit der Telearbeit verbunden sind. Außerdem MÜSSEN sie in die entsprechenden Sicherheitsmaßnahmen der Institution eingewiesen und im Umgang mit diesen geschult werden. Die Schulungs- und Sensibilisierungsmaßnahmen für Mitarbeitenden SOLLTEN regelmäßig wiederholt werden.","OPS.1.2.4.A5 Sensibilisierung und Schulung der Mitarbeitenden (B) Anhand eines Leitfadens MÜSSEN die Mitarbeitenden für die Gefahren sensibilisiert werden, die mit der Telearbeit verbunden sind. Außerdem MÜSSEN sie in die entsprechenden Sicherheitsmaßnahmen der Institution eingewiesen und im Umgang mit diesen geschult werden. Die Schulungs- und Sensibilisierungsmaßnahmen für Mitarbeitenden SOLLTEN regelmäßig wiederholt werden."
Muss es ein eigenes Sicherheitskonzept für Telearbeit geben?,"Es SOLLTE ein Sicherheitskonzept für die Telearbeit erstellt werden, das Sicherheitsziele, Schutzbedarf, Sicherheitsanforderungen sowie Risiken beschreibt. Das Konzept SOLLTE regelmäßig aktualisiert und überarbeitet werden. Das Sicherheitskonzept zur Telearbeit SOLLTE auf das übergreifende Sicherheitskonzept der Institution abgestimmt werden.","OPS.1.2.4.A6 Erstellen eines Sicherheitskonzeptes für Telearbeit (S) Es SOLLTE ein Sicherheitskonzept für die Telearbeit erstellt werden, das Sicherheitsziele, Schutzbedarf, Sicherheitsanforderungen sowie Risiken beschreibt. Das Konzept SOLLTE regelmäßig aktualisiert und überarbeitet werden. Das Sicherheitskonzept zur Telearbeit SOLLTE auf das übergreifende Sicherheitskonzept der Institution abgestimmt werden."
Wie soll die Nutzung von Internet und Kommunikationsmitteln geregelt werden?,"Es SOLLTE klar geregelt werden, welche Kommunikationsmöglichkeiten bei der Telearbeit unter welchen Rahmenbedingungen genutzt werden dürfen. Die dienstliche und private Nutzung von Internetdiensten bei der Telearbeit SOLLTE geregelt werden. Dabei SOLLTE auch geklärt werden, ob eine private Nutzung generell erlaubt oder unterbunden wird.","OPS.1.2.4.A7 Regelung der Nutzung von Kommunikationsmöglichkeiten bei Telearbeit (S) [IT-Betrieb, Mitarbeitende] Es SOLLTE klar geregelt werden, welche Kommunikationsmöglichkeiten bei der Telearbeit unter welchen Rahmenbedingungen genutzt werden dürfen. Die dienstliche und private Nutzung von Internetdiensten bei der Telearbeit SOLLTE geregelt werden. Dabei SOLLTE auch geklärt werden, ob eine private Nutzung generell erlaubt oder unterbunden wird."
"Wie wird sichergestellt, dass Telearbeitende gut informiert bleiben?","Es sollte ein regelmäßiger innerbetrieblicher Informationsaustausch zwischen Mitarbeitenden und Institution gewährleistet sein. Alle Mitarbeitenden sollten zeitnah über geänderte Sicherheitsanforderungen und sicherheitsrelevante Aspekte informiert werden. Die Erreichbarkeit der Telearbeitenden sollte allen Kollegen bekannt sein. Technische und organisatorische Regelungen zur Aufgabenbewältigung, zu Sicherheitsvorfällen und sonstigen Problemen sollten festgelegt und kommuniziert werden.","OPS.1.2.4.A8 Informationsfluss zwischen Mitarbeitenden und Institution (S) [Vorgesetzte, Mitarbeitende] Ein regelmäßiger innerbetrieblicher Informationsaustausch zwischen den Mitarbeitenden und der Institution SOLLTE gewährleistet sein. Alle Mitarbeitenden SOLLTEN zeitnah über geänderte Sicherheitsanforderungen und andere sicherheitsrelevante Aspekte informiert werden. Allen Kollegen und Kolleginnen der jeweiligen Mitarbeitenden SOLLTE bekannt sein, wann und wo diese erreicht werden können. Technische und organisatorische Telearbeitsregelungen zur Aufgabenbewältigung, zu Sicherheitsvorfällen und sonstigen Problemen SOLLTEN geregelt und an die Mitarbeitenden kommuniziert werden."
Was muss zur Einrichtung eines Telearbeitsplatzes beachtet werden?,"Vor Einrichtung eines Telearbeitsplatzes sollte eine Anforderungsanalyse durchgeführt werden, aus der die benötigten Hard- und Software-Komponenten hervorgehen. Die Anforderungen sollten mit den IT-Verantwortlichen abgestimmt werden. Der Schutzbedarf der am Telearbeitsplatz verarbeiteten Informationen sollte festgestellt und dokumentiert werden.","OPS.1.2.4.A10 Durchführung einer Anforderungsanalyse für den Telearbeitsplatz (S) [IT-Betrieb] Bevor ein Telearbeitsplatz eingerichtet wird, SOLLTE eine Anforderungsanalyse durchgeführt werden. Daraus SOLLTE z. B. hervorgehen, welche Hard- und Software-Komponenten für den Telearbeitsplatz benötigt werden. Die Anforderungen an den jeweiligen Telearbeitsplatz SOLLTEN mit den ITVerantwortlichen abgestimmt werden. Es SOLLTE immer festgestellt und dokumentiert werden, welchen Schutzbedarf die am Telearbeitsplatz verarbeiteten Informationen haben."
Wie werden Wartung und Support für Telearbeitsplätze organisiert?,"Für Telearbeitsplätze SOLLTE ein spezielles Betreuungs- und Wartungskonzept erstellt werden. Darin SOLLTEN folgende Aspekte geregelt werden: Kontaktperson des IT-Betriebs, Wartungstermine, Fernwartung, Transport der IT-Geräte und Einführung von Standard-Telearbeitsrechnern. Damit die Mitarbeitenden einsatzfähig bleiben, SOLLTEN für sie Kontaktpersonen für Hard- und Softwareprobleme benannt werden","OPS.1.2.4.A9 Betreuungs- und Wartungskonzept für Telearbeitsplätze (S) [ITBetrieb, Mitarbeitende] Für Telearbeitsplätze SOLLTE ein spezielles Betreuungs- und Wartungskonzept erstellt werden. Darin SOLLTEN folgende Aspekte geregelt werden: Kontaktperson des IT-Betriebs, Wartungstermine, Fernwartung, Transport der IT-Geräte und Einführung von Standard-Telearbeitsrechnern. Damit die Mitarbeitenden einsatzfähig bleiben, SOLLTEN für sie Kontaktpersonen für Hard- und Softwareprobleme benannt werden."
"Wie wird sichergestellt, dass Telearbeit in das übergreifende Sicherheitskonzept integriert ist?",Das Sicherheitskonzept für Telearbeit sollte auf das übergreifende Sicherheitskonzept der Institution abgestimmt und regelmäßig aktualisiert werden.,"OPS.1.2.4.A6 Erstellen eines Sicherheitskonzeptes für Telearbeit (S) Es SOLLTE ein Sicherheitskonzept für die Telearbeit erstellt werden, das Sicherheitsziele, Schutzbedarf, Sicherheitsanforderungen sowie Risiken beschreibt. Das Konzept SOLLTE regelmäßig aktualisiert und überarbeitet werden. Das Sicherheitskonzept zur Telearbeit SOLLTE auf das übergreifende Sicherheitskonzept der Institution abgestimmt werden."
